id,text,label_list,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
0,tempatnya aestetic sekali lebih dekat dari rumah dan menyediakan berbagai pakaian,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
1,duh harus berkata apa lg yah klo ada bintang diatas 5 pasti ak akan berikan bintang yg paling tinggi karna emang sebagus itu gk akan nyesel beli ak aja sampe khilaf i,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
2,bb 73 tb 170 aku suka modelnya panjangnya pas dan tidak terlalu lebar bahannya bagus banget dipakai juga adem untuk harga 100 ribuan ini oke banget,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
3,bahan nya tebal sesuai sama yg di foto,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
4,first time kesini tempatnya comfy dan luas jg bajunya buagus bagus beneran type yg clean outfit gitu buat ak yg suka simple simple trus warna pastel dan soft ini the best bgt sayangnya ak kesini pas abis beli baju pas di jcm jadi cuma liat liat ada yg ak naksir bgt tapi mutusin buat dikeranjangin aja tapi ternyata ga semua baju yg di online ada tuh ada jg di offline jadi ga semua baju yg ada di outlet tuh ada di etalase produk yg di shopeenya hos so sadd besok ak kesini lagi dh buat ngejemput yg kemaren menarik mata bgt mba mbanya ramah kok aman sj yg pasti bisa bikin kalap soalnya modelnya super duper cakep dan warnanya ok bgt,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
5,produk lucu harga masih terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
6,baguss banget bahannya puas sedikit kebesaran di suami tapi masih aman lah karna oversize jugak kan modelnya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
7,sorry min bahannya tipis ga sesuai ekspektasi,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
8,suka banget belanja di store inibarangnya bagus dan datangnya real pict amanah banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
9,worth it recommend 1010 saya akan balik belanja lagi ke sini ketika saya di jogja bangunan ada 3 lantai khusus pakaian pria ada di lantai 3 pilihan lengkap mulai dari kaos batik kemeja formal kemeja flannel jaket celana olahraga celana jeans celana kerjakuliah celana chinos sepatu dll saya niat ke sini untuk menemani ibu membeli beberapa baju hangat dan celana santai untuk eyang kakung di jogja namun saya tertarik untuk membeli kaos dan batik yang gak kalah bagus kualitasnya area parkir luas untuk mobil maupun motor,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
10,bagus size pas bgt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
11,sukaa bgtt belanja di zano banyak diskon pelayanannya ramah bgttt,PLACE_POSITIVE|PROMOTION_POSITIVE,0,0,0,0,0,0,1,0,0,1,0,0,0
12,barangnya sdh smpai baik dan trpercaya,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
13,produkny bagus dan berkualitas sesuai harga,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
14,pas bagus pengen co lagi bahan tebal premium,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
