,precision,recall,f1-score,support
PRODUCT_POSITIVE,0.9138755980861244,0.8565022421524664,0.8842592592592593,223.0
PRODUCT_NEGATIVE,0.6153846153846154,0.6956521739130435,0.6530612244897959,23.0
PRODUCT_NEUTRAL,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0
PRICE_POSITIVE,0.9361702127659575,0.88,0.9072164948453608,50.0
PRICE_NEGATIVE,0.0,0.0,0.0,0.0
PRICE_NEUTRAL,0.5,1.0,0.6666666666666666,2.0
PLACE_POSITIVE,0.8571428571428571,0.78,0.8167539267015707,100.0
PLACE_NEGATIVE,0.5714285714285714,1.0,0.7272727272727273,8.0
PLACE_NEUTRAL,0.0,0.0,0.0,0.0
PROMOTION_POSITIVE,0.42857142857142855,0.75,0.5454545454545454,4.0
PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
PROMOTION_NEUTRAL,1.0,0.5,0.6666666666666666,2.0
OUT_OF_TOPIC,0.24444444444444444,0.4230769230769231,0.30985915492957744,26.0
micro avg,0.7816593886462883,0.8063063063063063,0.7937915742793792,444.0
macro avg,0.4923346970121025,0.5809152312160847,0.5093580854408165,444.0
weighted avg,0.8290814655876246,0.8063063063063063,0.812243494936954,444.0
samples avg,0.7786885245901639,0.7909836065573771,0.7713348946135831,444.0
