,precision,recall,f1-score,support
O,0.5925925925925926,0.053467000835421885,0.09808429118773947,1197.0
B-OUT_OF_TOPIC,0.0,0.0,0.0,13.0
B-PLACE_NEGATIVE,0.0,0.0,0.0,11.0
B-PLACE_NEUTRAL,0.0,0.0,0.0,0.0
B-PLACE_POSITIVE,0.46875,0.4934210526315789,0.4807692307692308,152.0
B-PRICE_NEGATIVE,0.0,0.0,0.0,0.0
B-PRICE_NEUTRAL,0.0,0.0,0.0,2.0
B-PRICE_POSITIVE,0.6666666666666666,0.7547169811320755,0.7079646017699115,53.0
B-PRODUCT_NEGATIVE,0.0,0.0,0.0,30.0
B-PRODUCT_NEUTRAL,0.0,0.0,0.0,7.0
B-PRODUCT_POSITIVE,0.5583596214511041,0.5042735042735043,0.5299401197604791,351.0
B-PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
B-PROMOTION_NEUTRAL,0.0,0.0,0.0,2.0
B-PROMOTION_POSITIVE,0.0,0.0,0.0,4.0
I-OUT_OF_TOPIC,0.2558139534883721,0.21568627450980393,0.23404255319148937,51.0
I-PLACE_NEGATIVE,0.2012987012987013,0.4189189189189189,0.2719298245614035,74.0
I-PLACE_NEUTRAL,0.0,0.0,0.0,0.0
I-PLACE_POSITIVE,0.2759103641456583,0.5644699140401146,0.37064910630291625,349.0
I-PRICE_NEGATIVE,0.0,0.0,0.0,0.0
I-PRICE_NEUTRAL,0.0,0.0,0.0,4.0
I-PRICE_POSITIVE,0.29473684210526313,0.7671232876712328,0.42585551330798477,73.0
I-PRODUCT_NEGATIVE,0.15267175572519084,0.24691358024691357,0.18867924528301888,81.0
I-PRODUCT_NEUTRAL,0.1111111111111111,0.06666666666666667,0.08333333333333333,15.0
I-PRODUCT_POSITIVE,0.40149812734082396,0.7312414733969986,0.5183752417794971,733.0
I-PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
I-PROMOTION_NEUTRAL,0.0,0.0,0.0,13.0
I-PROMOTION_POSITIVE,0.0,0.0,0.0,11.0
accuracy,0.3744575325480471,0.3744575325480471,0.3744575325480471,0.3744575325480471
macro avg,0.14738554577501792,0.1784036538638233,0.1448008541202594,3226.0
weighted avg,0.4544275331995552,0.3744575325480471,0.3109175339281423,3226.0
